"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2014","2014","PC","Percentage","0","Units",,,73.6,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2015","2015","PC","Percentage","0","Units",,,76.59,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2016","2016","PC","Percentage","0","Units",,,78.18,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,79.3,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","ISL","Iceland","1990","1990","PC","Percentage","0","Units",,,6,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","ISL","Iceland","2000","2000","PC","Percentage","0","Units",,,90,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","ISL","Iceland","2005","2005","PC","Percentage","0","Units",,,89,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","ISL","Iceland","2010","2010","PC","Percentage","0","Units",,,91,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","1980","1980","PC","Percentage","0","Units",,,11.199999809265,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","1990","1990","PC","Percentage","0","Units",,,66,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2005","2005","PC","Percentage","0","Units",,,83,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2011","2011","PC","Percentage","0","Units",,,96,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2012","2012","PC","Percentage","0","Units",,,92.92,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2013","2013","PC","Percentage","0","Units",,,93.12,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2014","2014","PC","Percentage","0","Units",,,93.33,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2015","2015","PC","Percentage","0","Units",,,93.53,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2016","2016","PC","Percentage","0","Units",,,93.74,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,93.74,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","1980","1980","PC","Percentage","0","Units",,,30,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","1990","1990","PC","Percentage","0","Units",,,44,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2000","2000","PC","Percentage","0","Units",,,62,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2005","2005","PC","Percentage","0","Units",,,69.256401062012,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2010","2010","PC","Percentage","0","Units",,,75.099998474121,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2011","2011","PC","Percentage","0","Units",,,75.800003051758,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2012","2012","PC","Percentage","0","Units",,,76.3,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2013","2013","PC","Percentage","0","Units",,,77,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2014","2014","PC","Percentage","0","Units",,,77.6,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2015","2015","PC","Percentage","0","Units",,,77.8,,
